CC;Caisse;Annee;Sexe;ageconj;
5000;Agirc;2009;Ensemble;61;
5000;Agirc;2009;Femmes;61;
5000;Agirc;2009;Hommes;61;
5000;Agirc;2010;Ensemble;61;
5000;Agirc;2010;Femmes;61;
5000;Agirc;2010;Hommes;61;
5000;Agirc;2011;Ensemble;61;
5000;Agirc;2011;Femmes;61;
5000;Agirc;2011;Hommes;61;
5000;Agirc;2012;Ensemble;61;
5000;Agirc;2012;Femmes;61;
5000;Agirc;2012;Hommes;62;
5000;Agirc;2013;Ensemble;61;
5000;Agirc;2013;Femmes;61;
5000;Agirc;2013;Hommes;62;
5000;Agirc;2014;Ensemble;62;
5000;Agirc;2014;Femmes;62;
5000;Agirc;2014;Hommes;62;
5000;Agirc;2015;Ensemble;62;
5000;Agirc;2015;Femmes;62;
5000;Agirc;2015;Hommes;62;
5000;Agirc;2016;Ensemble;62;
5000;Agirc;2016;Femmes;62;
5000;Agirc;2016;Hommes;62;
5000;Agirc;2017;Ensemble;62;
5000;Agirc;2017;Femmes;62;
5000;Agirc;2017;Hommes;62;
5600;Agirc-arrco;2018;Ensemble;62;
5600;Agirc-arrco;2018;Femmes;62;
5600;Agirc-arrco;2018;Hommes;62;
5600;Agirc-arrco;2019;Ensemble;62;
5600;Agirc-arrco;2019;Femmes;63;
5600;Agirc-arrco;2019;Hommes;62;
5600;Agirc-arrco;2020;Ensemble;63;
5600;Agirc-arrco;2020;Femmes;63;
5600;Agirc-arrco;2020;Hommes;62;
5600;Agirc-arrco;2021;Ensemble;63;
5600;Agirc-arrco;2021;Femmes;63;
5600;Agirc-arrco;2021;Hommes;62;
5600;Agirc-arrco;2022;Femmes;63;
5600;Agirc-arrco;2022;Hommes;62;
5600;Agirc-arrco;2022;Ensemble;63;
6000;Arrco;2009;Ensemble;61;
6000;Arrco;2009;Femmes;61;
6000;Arrco;2009;Hommes;61;
6000;Arrco;2010;Ensemble;61;
6000;Arrco;2010;Femmes;61;
6000;Arrco;2010;Hommes;61;
6000;Arrco;2011;Ensemble;61;
6000;Arrco;2011;Femmes;61;
6000;Arrco;2011;Hommes;61;
6000;Arrco;2012;Ensemble;61;
6000;Arrco;2012;Femmes;61;
6000;Arrco;2012;Hommes;61;
6000;Arrco;2013;Ensemble;61;
6000;Arrco;2013;Femmes;61;
6000;Arrco;2013;Hommes;61;
6000;Arrco;2014;Ensemble;62;
6000;Arrco;2014;Femmes;62;
6000;Arrco;2014;Hommes;62;
6000;Arrco;2015;Ensemble;62;
6000;Arrco;2015;Femmes;62;
6000;Arrco;2015;Hommes;62;
6000;Arrco;2016;Ensemble;62;
6000;Arrco;2016;Femmes;62;
6000;Arrco;2016;Hommes;62;
6000;Arrco;2017;Ensemble;62;
6000;Arrco;2017;Femmes;62;
6000;Arrco;2017;Hommes;62;
0600;Banque de France;2005;Ensemble;58;
0600;Banque de France;2005;Femmes;57;
0600;Banque de France;2005;Hommes;59;
0600;Banque de France;2006;Ensemble;58;
0600;Banque de France;2006;Femmes;57;
0600;Banque de France;2006;Hommes;59;
0600;Banque de France;2007;Ensemble;58;
0600;Banque de France;2007;Femmes;57;
0600;Banque de France;2007;Hommes;59;
0600;Banque de France;2008;Ensemble;58;
0600;Banque de France;2008;Femmes;58;
0600;Banque de France;2008;Hommes;59;
0600;Banque de France;2009;Ensemble;58;
0600;Banque de France;2009;Femmes;58;
0600;Banque de France;2009;Hommes;59;
0600;Banque de France;2010;Ensemble;59;
0600;Banque de France;2010;Femmes;58;
0600;Banque de France;2010;Hommes;59;
0600;Banque de France;2011;Ensemble;59;
0600;Banque de France;2011;Femmes;58;
0600;Banque de France;2011;Hommes;59;
0600;Banque de France;2012;Ensemble;59;
0600;Banque de France;2012;Femmes;58;
0600;Banque de France;2012;Hommes;60;
0600;Banque de France;2013;Ensemble;59;
0600;Banque de France;2013;Femmes;59;
0600;Banque de France;2013;Hommes;60;
0600;Banque de France;2014;Ensemble;60;
0600;Banque de France;2014;Femmes;59;
0600;Banque de France;2014;Hommes;60;
0600;Banque de France;2015;Ensemble;60;
0600;Banque de France;2015;Femmes;59;
0600;Banque de France;2015;Hommes;60;
0600;Banque de France;2016;Ensemble;60;
0600;Banque de France;2016;Femmes;59;
0600;Banque de France;2016;Hommes;61;
0600;Banque de France;2017;Ensemble;60;
0600;Banque de France;2017;Femmes;60;
0600;Banque de France;2017;Hommes;61;
0600;Banque de France;2018;Ensemble;60;
0600;Banque de France;2018;Femmes;60;
0600;Banque de France;2018;Hommes;61;
0600;Banque de France;2019;Ensemble;60;
0600;Banque de France;2019;Femmes;59;
0600;Banque de France;2019;Hommes;61;
0600;Banque de France;2020;Ensemble;60;
0600;Banque de France;2020;Femmes;59;
0600;Banque de France;2020;Hommes;61;
0600;Banque de France;2021;Ensemble;61;
0600;Banque de France;2021;Femmes;60;
0600;Banque de France;2021;Hommes;62;
0600;Banque de France;2022;Femmes;61;
0600;Banque de France;2022;Hommes;62;
0600;Banque de France;2022;Ensemble;61;
0080;CANSSM;2020;Ensemble;54;
0080;CANSSM;2020;Femmes;53;
0080;CANSSM;2020;Hommes;56;
0080;CANSSM;2021;Ensemble;54;
0080;CANSSM;2021;Femmes;53;
0080;CANSSM;2021;Hommes;56;
0080;CANSSM;2022;Femmes;53;
0080;CANSSM;2022;Hommes;56;
0080;CANSSM;2022;Ensemble;54;
0090;CAVIMAC;2011;Ensemble;58;
0090;CAVIMAC;2011;Femmes;57;
0090;CAVIMAC;2011;Hommes;58;
0090;CAVIMAC;2012;Ensemble;59;
0090;CAVIMAC;2012;Femmes;59;
0090;CAVIMAC;2012;Hommes;59;
0090;CAVIMAC;2013;Ensemble;59;
0090;CAVIMAC;2013;Femmes;59;
0090;CAVIMAC;2013;Hommes;60;
0090;CAVIMAC;2014;Ensemble;64;
0090;CAVIMAC;2014;Femmes;63;
0090;CAVIMAC;2014;Hommes;64;
0090;CAVIMAC;2015;Ensemble;64;
0090;CAVIMAC;2015;Femmes;63;
0090;CAVIMAC;2015;Hommes;64;
0090;CAVIMAC;2016;Ensemble;64;
0090;CAVIMAC;2016;Femmes;64;
0090;CAVIMAC;2016;Hommes;64;
0090;CAVIMAC;2017;Ensemble;64;
0090;CAVIMAC;2017;Femmes;64;
0090;CAVIMAC;2017;Hommes;64;
0090;CAVIMAC;2018;Ensemble;64;
0090;CAVIMAC;2018;Femmes;64;
0090;CAVIMAC;2018;Hommes;65;
0090;CAVIMAC;2019;Ensemble;64;
0090;CAVIMAC;2019;Femmes;64;
0090;CAVIMAC;2019;Hommes;65;
0090;CAVIMAC;2020;Ensemble;65;
0090;CAVIMAC;2020;Femmes;64;
0090;CAVIMAC;2020;Hommes;65;
0010;CNAV;2012;Ensemble;62;
0010;CNAV;2012;Femmes;62;
0010;CNAV;2012;Hommes;62;
0010;CNAV;2013;Ensemble;62;
0010;CNAV;2013;Femmes;62;
0010;CNAV;2013;Hommes;62;
0010;CNAV;2014;Ensemble;62;
0010;CNAV;2014;Femmes;62;
0010;CNAV;2014;Hommes;62;
0010;CNAV;2015;Ensemble;62;
0010;CNAV;2015;Femmes;62;
0010;CNAV;2015;Hommes;62;
0010;CNAV;2016;Ensemble;62;
0010;CNAV;2016;Femmes;63;
0010;CNAV;2016;Hommes;62;
0010;CNAV;2017;Ensemble;62;
0010;CNAV;2017;Femmes;63;
0010;CNAV;2017;Hommes;62;
0010;CNAV;2018;Ensemble;63;
0010;CNAV;2018;Femmes;63;
0010;CNAV;2018;Hommes;62;
0010;CNAV;2019;Ensemble;63;
